time,result,link
"138. zimná aukcia výtvarných diel a starožitností, 05.12.2017",Na aukcii bolo vydražených 159 diel (55%)  v celkovej hodnote 499 745 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/138-zimna-aukcia-vytvarnych-diel-a-starozitnosti
"137. večerná aukcia, 14.11.2017",Na aukcii bolo vydražených 45 diel (50%)  v celkovej hodnote 378 900 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/137-vecerna-aukcia
"136. jesenná aukcia výtvarných diel, 26.09.2017",Na aukcii bolo vydražených 152 diel (57%)  v celkovej hodnote 198 940 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/136-jesenna-aukcia-vytvarnych-diel
"135. letná aukcia výtvarných diel a starožitností, 13.06.2017",Na aukcii bolo vydražených 164 diel (50%)  v celkovej hodnote 276 625 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/135-letna-aukcia-vytvarnych-diel-a-starozitnosti
"134. večerná aukcia, 25.04.2017",Na aukcii bolo vydražených 47 diel (51%)  v celkovej hodnote 665 600 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/134-vecerna-aukcia
"133. jarná aukcia výtvarných diel, 07.03.2017",Na aukcii bolo vydražených 129 diel (64%)  v celkovej hodnote 212 230 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/133-jarna-aukcia-vytvarnych-diel
"132. zimná aukcia výtvarných diel a starožitností, 13.12.2016",Na aukcii bolo vydražených 137 diel (44%)  v celkovej hodnote 279 435 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/132-zimna-aukcia-vytvarnych-diel-a-starozitnosti
"131. večerná aukcia, 22.11.2016",Na aukcii bolo vydražených 45 diel (54%)  v celkovej hodnote 616 700 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/131-vecerna-aukcia
"130. jesenná aukcia výtvarných diel, 11.10.2016",Na aukcii bolo vydražených 143 diel (41%)  v celkovej hodnote 240 440 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/130-jesenna-aukcia-vytvarnych-diel
"129. letná aukcia výtvarných diel a starožitností, 14.06.2016",Na aukcii bolo vydražených 161 diel (48%)  v celkovej hodnote 428 780 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/129-letna-aukcia-vytvarnych-diel-a-starozitnosti
"128. večerná aukcia, 26.04.2016",Na aukcii bolo vydražených 38 diel (46%)  v celkovej hodnote 873 300 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/128-vecerna-aukcia
"127. jarná aukcia výtvarných diel, 15.03.2016",Na aukcii bolo vydražených 145 diel (54%)  v celkovej hodnote 422 590 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/127-jarna-aukcia-vytvarnych-diel
"126. zimná aukcia výtvarných diel a starožitností, 01.12.2015",Na aukcii bolo vydražených 139 diel (41%)  v celkovej hodnote 423 170 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/126-zimna-aukcia-vytvarnych-diel-a-starozitnosti
"125. večerná aukcia, 10.11.2015",Na aukcii bolo vydražených 48 diel (51%)  v celkovej hodnote 874 600 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/125-vecerna-aukcia
"124. jesenná aukcia výtvarných diel, 22.09.2015",Na aukcii bolo vydražených 125 diel (48%)  v celkovej hodnote 320 760 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/124-jesenna-aukcia-vytvarnych-diel
"123. letná aukcia výtvarných diel a starožitností, 09.06.2015",Na aukcii bolo vydražených 137 diel (48%)  v celkovej hodnote 246 550 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/123-letna-aukcia-vytvarnych-diel-a-starozitnosti
"122. večerná aukcia, 21.04.2015",Na aukcii bolo vydražených 56 diel (66%)  v celkovej hodnote 662 600 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/122-vecerna-aukcia
"121. jarná aukcia výtvarných diel, 17.03.2015",Na aukcii bolo vydražených 150 diel (50%)  v celkovej hodnote 313 920 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/121-jarna-aukcia-vytvarnych-diel
"120. zimná aukcia výtvarných diel a starožitností, 02.12.2014",Na aukcii bolo vydražených 129 diel (40%)  v celkovej hodnote 167 510 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/120-zimna-aukcia-vytvarnych-diel-a-starozitnosti
"119. večerná aukcia, 11.11.2014",Na aukcii bolo vydražených 45 diel (51%)  v celkovej hodnote 802 200 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/119-vecerna-aukcia
"118. jesenná aukcia výtvarných diel , 23.09.2014",Na aukcii bolo vydražených 144 diel (48%)  v celkovej hodnote 389 980 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/118-jesenna-aukcia-vytvarnych-diel
"117. letná aukcia výtvarných diel a starožitností, 10.06.2014",Na aukcii bolo vydražených 124 diel (46%)  v celkovej hodnote 292 820 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/117-letna-aukcia-vytvarnych-diel-a-starozitnosti
"116. večerná aukcia, 08.04.2014",Na aukcii bolo vydražených 59 diel (58%)  v celkovej hodnote 797 310 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/116-vecerna-aukcia
"115. jarná aukcia výtvarných diel, 11.03.2014",Na aukcii bolo vydražených 100 diel (40%)  v celkovej hodnote 250 150 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/115-jarna-aukcia-vytvarnych-diel
"114. zimná aukcia výtvarných diel a starožitností. Umelecká pozostalosť Ernesta Zmetáka, 03.12.2013",Na aukcii bolo vydražených 152 diel (43%)  v celkovej hodnote 290 480 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/114-zimna-aukcia-vytvarnych-diel-a-starozitnosti-umelecka-pozostalost-ernesta-zmetaka
"113. večerná aukcia, 12.11.2013",Na aukcii bolo vydražených 43 diel (46%)  v celkovej hodnote 974 200 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/113-vecerna-aukcia
"112. jesenná aukcia výtvarných diel , 24.09.2013",Na aukcii bolo vydražených 110 diel (36%)  v celkovej hodnote 256 570 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/112-jesenna-aukcia-vytvarnych-diel
"111. letná aukcia výtvarných diel a starožitností, 11.06.2013",Na aukcii bolo vydražených 157 diel (51%)  v celkovej hodnote 293 540 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/111-letna-aukcia-vytvarnych-diel-a-starozitnosti
"110. večerná aukcia, 23.04.2013",Na aukcii bolo vydražených 48 diel (53%)  v celkovej hodnote 1 123 100 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/110-vecerna-aukcia
"109. jarná aukcia výtvarných diel , 19.03.2013",Na aukcii bolo vydražených 155 diel (56%)  v celkovej hodnote 318 270 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/109-jarna-aukcia-vytvarnych-diel
"108. zimná aukcia výtvarných diel a starožitností, 04.12.2012",Na aukcii bolo vydražených 157 diel (41%)  v celkovej hodnote 504 090 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/108-zimna-aukcia-vytvarnych-diel-a-starozitnosti
"107. večerná aukcia, 13.11.2012",Na aukcii bolo vydražených 64 diel (65%)  v celkovej hodnote 1 674 000 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/107-vecerna-aukcia
"106. jesenná aukcia výtvarných diel, 25.09.2012",Na aukcii bolo vydražených 157 diel (43%)  v celkovej hodnote 249 650 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/106-jesenna-aukcia-vytvarnych-diel
"105. letná aukcia výtvarných diel a starožitností, 12.06.2012",Na aukcii bolo vydražených 178 diel (53%)  v celkovej hodnote 354 700 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/105-letna-aukcia-vytvarnych-diel-a-starozitnosti
"104. večerná aukcia – Mednyánszky zo zbierky Dr. Lea Ringwalda, 29.05.2012",Na aukcii bolo vydražených 93 diel (76%)  v celkovej hodnote 876 750 €. ,/aukcie-obrazy-diela-umenie-starozitnosti/aukcie/104-vecerna-aukcia-mednyanszky-zo-zbierky-dr-lea-ringwalda
