value,value1,name,piece
Poradové číslo:,43,REICHENTÁL FRANTIŠEK  (1895 - 1971),Zlievač II.
Nevydražené,,REICHENTÁL FRANTIŠEK  (1895 - 1971),Zlievač II.
Cena v predaji:,2 500 €,REICHENTÁL FRANTIŠEK  (1895 - 1971),Zlievač II.
Poradové číslo:,44,RUTTKAY-NEDECKÝ VILIAM  (1892 - 1967),Zátišie s krčahom a melónom
Nevydražené,,RUTTKAY-NEDECKÝ VILIAM  (1892 - 1967),Zátišie s krčahom a melónom
Cena v predaji:,2 000 €,RUTTKAY-NEDECKÝ VILIAM  (1892 - 1967),Zátišie s krčahom a melónom
Poradové číslo:,45,BENKA MARTIN (1888 - 1971),Zátišie s tekvicou a džbánom
Nevydražené,,BENKA MARTIN (1888 - 1971),Zátišie s tekvicou a džbánom
Cena v predaji:,45 000 €,BENKA MARTIN (1888 - 1971),Zátišie s tekvicou a džbánom
Poradové číslo:,46,ŠIMEROVÁ MARTINČEKOVÁ ESTER  (1909 - 2005),Kytica v keramickej váze
Nevydražené,,ŠIMEROVÁ MARTINČEKOVÁ ESTER  (1909 - 2005),Kytica v keramickej váze
Cena v predaji:,19 000 €,ŠIMEROVÁ MARTINČEKOVÁ ESTER  (1909 - 2005),Kytica v keramickej váze
Poradové číslo:,47,MUDROCH JÁN  (1909 - 1968),Zátišie s modranským džbánom a chryzantémami
Odhadovaná cena:,12 000 - 14 000 €,MUDROCH JÁN  (1909 - 1968),Zátišie s modranským džbánom a chryzantémami
Konečná cena:,12 000 €,MUDROCH JÁN  (1909 - 1968),Zátišie s modranským džbánom a chryzantémami
Poradové číslo:,49,SOKOL KOLOMAN  (1902 - 2001),Mexický život
Odhadovaná cena:,7 000- 9 000 €,SOKOL KOLOMAN  (1902 - 2001),Mexický život
Konečná cena:,7 000 €,SOKOL KOLOMAN  (1902 - 2001),Mexický život
Poradové číslo:,50,BENKA MARTIN (1888 - 1971),Cestou (Ružomberok)
Odhadovaná cena:,55 000 – 65 000 €,BENKA MARTIN (1888 - 1971),Cestou (Ružomberok)
Konečná cena:,63 000 €,BENKA MARTIN (1888 - 1971),Cestou (Ružomberok)
Poradové číslo:,51,ZMETÁK ERNEST  (1919 - 2004),Portrét brata Ľudovíta
Odhadovaná cena:,16 000- 18 000 €,ZMETÁK ERNEST  (1919 - 2004),Portrét brata Ľudovíta
Konečná cena:,14 000 €,ZMETÁK ERNEST  (1919 - 2004),Portrét brata Ľudovíta
Poradové číslo:,52,MALÝ FRANTIŠEK (1900 - 1980),Magické torzo
Odhadovaná cena:,3 000 - 4 000 €,MALÝ FRANTIŠEK (1900 - 1980),Magické torzo
Konečná cena:,4 200 €,MALÝ FRANTIŠEK (1900 - 1980),Magické torzo
Poradové číslo:,53,KRIVOŠ RUDOLF  (1933),Biologické husle
Nevydražené,,KRIVOŠ RUDOLF  (1933),Biologické husle
Cena v predaji:,10 000 €,KRIVOŠ RUDOLF  (1933),Biologické husle
Poradové číslo:,54,JAKOBY JÚLIUS  (1903 - 1985),Akt ženy so zrkadlom
Odhadovaná cena:,75 000 – 90 000 €,JAKOBY JÚLIUS  (1903 - 1985),Akt ženy so zrkadlom
Konečná cena:,80 000 €,JAKOBY JÚLIUS  (1903 - 1985),Akt ženy so zrkadlom
Poradové číslo:,55,JASUSCH ANTON  (1882 - 1965),Pred cirkusom
Nevydražené,,JASUSCH ANTON  (1882 - 1965),Pred cirkusom
Cena v predaji:,12 000 €,JASUSCH ANTON  (1882 - 1965),Pred cirkusom
Poradové číslo:,56,MUDROCH JÁN  (1909 - 1968),Priateľky
Nevydražené,,MUDROCH JÁN  (1909 - 1968),Priateľky
Cena v predaji:,15 000 €,MUDROCH JÁN  (1909 - 1968),Priateľky
Poradové číslo:,57,ZMETÁK ERNEST  (1919 - 2004),Autoportrét
Nevydražené,,ZMETÁK ERNEST  (1919 - 2004),Autoportrét
Cena v predaji:,3 000 €,ZMETÁK ERNEST  (1919 - 2004),Autoportrét
Poradové číslo:,58,LALUHA MILAN  (1930 - 2013),V krčme
Odhadovaná cena:,12 000 - 14 000 €,LALUHA MILAN  (1930 - 2013),V krčme
Konečná cena:,12 900 €,LALUHA MILAN  (1930 - 2013),V krčme
Poradové číslo:,59,KOMPÁNEK VLADIMÍR  (1927 - 2011),Penát
Odhadovaná cena:,2 500 – 2 800 €,KOMPÁNEK VLADIMÍR  (1927 - 2011),Penát
Konečná cena:,2 500 €,KOMPÁNEK VLADIMÍR  (1927 - 2011),Penát
Poradové číslo:,60,LALUHA MILAN  (1930 - 2013),Dvaja chlapi
Nevydražené,,LALUHA MILAN  (1930 - 2013),Dvaja chlapi
Cena v predaji:,10 000 €,LALUHA MILAN  (1930 - 2013),Dvaja chlapi
Poradové číslo:,61,KOMPÁNEK VLADIMÍR  (1927 - 2011),Štíty s mesiačkom
