name,piece,id,nevydražené,poradové_číslo,vyvolávacia_cena,konečná_cena,cena_v predaji,odhadovaná_cena,vysledok
,ART DECO NÁHRDELNÍK, ART DECO NÁHRDELNÍK,NA,277,7600,NA,NA,NA,NA
,ART DECO NÁUŠNICE, ART DECO NÁUŠNICE,NA,290,3500,NA,NA,NA,NA
,ART DECO PRÍVESOK, ART DECO PRÍVESOK,NA,292,11500,9300,NA,NA,-2200
,ART DECO PRÍVESOK S PERLOU A DIAMANTAMI, ART DECO PRÍVESOK S PERLOU A DIAMANTAMI,NA,293,2500,NA,NA,NA,NA
,ART DECO PRSTEŇ, ART DECO PRSTEŇ,NA,273,600,NA,NA,NA,NA
,ART DECO VÁZA, ART DECO VÁZA,NA,329,500,NA,NA,NA,NA
,Barokový príborník, Barokový príborník,NA,328,1900,NA,NA,NA,NA
,Barokový stolík, Barokový stolík,NA,329,1900,NA,NA,NA,NA
,BIEDERMEIER NÁHRDELNÍK, BIEDERMEIER NÁHRDELNÍK,NA,240,1800,NA,NA,NA,NA
 BIELIK ROBERT (1963),Ježiško so svätými zvieratkami nad Bratislavou, BIELIK ROBERT (1963) Ježiško so svätými zvieratkami nad Bratislavou,NA,93,NA,NA,13 000 €,NA,NA
,BONBONIÉRA, BONBONIÉRA,NA,345,300,NA,NA,NA,NA
,BRILIANTOVÁ BROŠŇA, BRILIANTOVÁ BROŠŇA,NA,297,3100,NA,NA,NA,NA
,BRILIANTOVÉ NÁUŠNICE, BRILIANTOVÉ NÁUŠNICE,NA,289,5400,NA,NA,NA,NA
,Briliantový dámsky prsteň, Briliantový dámsky prsteň,NA,298,1200,1200,NA,NA,0
,BRILIANTOVÝ NÁHRDELNÍK, BRILIANTOVÝ NÁHRDELNÍK,NA,279,4900,NA,NA,NA,NA
,BRILIANTOVÝ NÁHRDELNÍK SO SMARAGDAMI, BRILIANTOVÝ NÁHRDELNÍK SO SMARAGDAMI,NA,237,6e3,6e3,NA,NA,0
,Briliantový prívesok, Briliantový prívesok,NA,294,1600,NA,NA,NA,NA
,Briliantový prsteň, Briliantový prsteň,NA,286,7e3,7e3,NA,NA,0
,BROŠŇA, BROŠŇA,NA,301,450,NA,NA,NA,NA
,Brošna ART DECO, Brošna ART DECO,NA,284,4900,4e3,NA,NA,-900
,BROŠŇA S HLAVOU ČERNOŠKA, BROŠŇA S HLAVOU ČERNOŠKA,NA,300,600,NA,NA,NA,NA
,BROŠŇA S MINIATÚROU, BROŠŇA S MINIATÚROU,NA,298,700,NA,NA,NA,NA
,Brošňa so smaragdom a diamantmi, Brošňa so smaragdom a diamantmi,NA,302,6700,NA,NA,NA,NA
,BROŠŇA V TVARE KVETU, BROŠŇA V TVARE KVETU,NA,299,600,NA,NA,NA,NA
,Buldog - dóza na tabletky, Buldog - dóza na tabletky,NA,292,650,NA,NA,NA,NA
,Butony - briliantové náušnice, Butony - briliantové náušnice,NA,319,650,NA,NA,NA,NA
,Čajová súprava, Čajová súprava,NA,279,1200,NA,NA,NA,NA
,Čajová súprava pre 12 osôb, Čajová súprava pre 12 osôb,NA,278,1e3,800,NA,NA,-200
,CARTELOVÉ HODINY, CARTELOVÉ HODINY,NA,316,5e3,4100,NA,NA,-900
,Chlapec s fajkou v kresle, Chlapec s fajkou v kresle,NA,280,1500,NA,NA,NA,NA
,Čínske komodové hodiny, Čínske komodové hodiny,NA,325,2e3,NA,NA,NA,NA
,Dáma s vejárom v žltej čipkovanej sukni, Dáma s vejárom v žltej čipkovanej sukni,NA,281,800,NA,NA,NA,NA
,Dáma v čipkovanej sukni s listom a vejárom, Dáma v čipkovanej sukni s listom a vejárom,NA,282,800,NA,NA,NA,NA
,Dámsky diamantový prsteň, Dámsky diamantový prsteň,NA,300a,59e3,NA,NA,NA,NA
,Dámsky písací stolík, Dámsky písací stolík,NA,326,350,280,NA,NA,-70
,Diamantový prívesok, Diamantový prívesok,NA,281,9e3,NA,NA,NA,NA
,Diamantový prívesok - krížik, Diamantový prívesok - krížik,NA,279,1e4,NA,NA,NA,NA
,DIAMANTOVÝ PRSTEŇ, DIAMANTOVÝ PRSTEŇ,NA,272,650,NA,NA,NA,NA
,Diamantový prsteň v tvare kvetu, Diamantový prsteň v tvare kvetu,NA,295,450,350,NA,NA,-100
,Dievča na balkóne, Dievča na balkóne,NA,283,700,NA,NA,NA,NA
,Dóza, Dóza,NA,298,450,NA,NA,NA,NA
,DÓZA NA BONBÓNY, DÓZA NA BONBÓNY,NA,330,200,NA,NA,NA,NA
,DÓZA NA CIGARETY, DÓZA NA CIGARETY,NA,305,2e3,NA,NA,NA,NA
,DÓZA S GALANTNOU SCÉNOU, DÓZA S GALANTNOU SCÉNOU,NA,319,2e3,NA,NA,NA,NA
,DÓZA S MEDVEĎOM, DÓZA S MEDVEĎOM,NA,326,900,900,NA,NA,0
,Drevená kazeta, Drevená kazeta,NA,317,400,NA,NA,NA,NA
,DVA PRSTENE ALEBO NÁUŠNICE, DVA PRSTENE ALEBO NÁUŠNICE,NA,267,9400,NA,NA,NA,NA
,Dvojradový perlový náhrdelník, Dvojradový perlový náhrdelník,NA,278,7600,NA,NA,NA,NA
,EMAILOVÝ RÁMIK, EMAILOVÝ RÁMIK,NA,307,1e3,NA,NA,NA,NA
,Empírová váza s vekom (Francúzsko), Empírová váza s vekom (Francúzsko),NA,306,1800,NA,NA,NA,NA
,Empírová žardiniéra, Empírová žardiniéra,NA,304,2e3,NA,NA,NA,NA
,Empírové hodiny, Empírové hodiny,NA,324,3e3,NA,NA,NA,NA
,Empírové hodiny s alegóriou písomníctva, Empírové hodiny s alegóriou písomníctva,NA,279,1900,NA,NA,NA,NA
,Empírové zrkadlo, Empírové zrkadlo,NA,316,3e3,4800,NA,NA,1800
 FILKO STANO (1937 - 2015),Zbojníci, FILKO STANO (1937 - 2015) Zbojníci,NA,80,NA,11500,NA,8 000 – 10 000 €,NA
,FLAKÓN, FLAKÓN,NA,308,1700,NA,NA,NA,NA
,FLAKÓN PRE PARFÉM NINA RICCI, FLAKÓN PRE PARFÉM NINA RICCI,NA,334,800,NA,NA,NA,NA
,FĽAŠKA NA ALKOHOL V STRIEBORNEJ MONTÁŽI S MONOGRAMOM FB, FĽAŠKA NA ALKOHOL V STRIEBORNEJ MONTÁŽI S MONOGRAMOM FB,NA,335,600,NA,NA,NA,NA
,Gavalier, Gavalier,NA,284,600,NA,NA,NA,NA
,Glóbus, Glóbus,NA,315,2500,NA,NA,NA,NA
,Gondoliér, Gondoliér,NA,279,1500,NA,NA,NA,NA
 GUDERNA LADISLAV (1921 - 1999),Duch, GUDERNA LADISLAV (1921 - 1999) Duch,NA,63,NA,NA,6 000 €,NA,NA
,HODINY V TVARE LÝRY, HODINY V TVARE LÝRY,NA,247,2900,2900,NA,NA,0
,HON NA LÍŠKU, HON NA LÍŠKU,NA,235,3400,NA,NA,NA,NA
,Intarzovaný dvojetážový stolík, Intarzovaný dvojetážový stolík,NA,319,400,450,NA,NA,50
,Jazdec na koni (Anglicko), Jazdec na koni (Anglicko),NA,273,2500,NA,NA,NA,NA
,Keramický akt Art Deco, Keramický akt Art Deco,NA,284,250,NA,NA,NA,NA
,klenený pohár s rytým motívom koňa, klenený pohár s rytým motívom koňa,NA,275,1900,NA,NA,NA,NA
,KOMODA, KOMODA,NA,347,350,350,NA,NA,0
,Komodové hodiny, Komodové hodiny,NA,276,6e3,NA,NA,NA,NA
,KOMODOVÉ HODINY, KOMODOVÉ HODINY,NA,317,3800,NA,NA,NA,NA
,Komodové hodiny na nôžkach (Bamberg – Nemecko), Komodové hodiny na nôžkach (Bamberg – Nemecko),NA,266,3850,3850,NA,NA,0
,Komodové hodiny v štýle Boulle, Komodové hodiny v štýle Boulle,NA,323,1700,1700,NA,NA,0
,KOMODOVÉ HODINY V ŠTÝLE BOULLE, KOMODOVÉ HODINY V ŠTÝLE BOULLE,NA,313,6800,NA,NA,NA,NA
,Komodové hodiny v štýle Boullé (Francúzsko), Komodové hodiny v štýle Boullé (Francúzsko),NA,267,5400,4300,NA,NA,-1100
,Konzola s maĽovaným kvetinovým motívom, Konzola s maĽovaným kvetinovým motívom,NA,291,1500,NA,NA,NA,NA
,Konzolové hodiny, Konzolové hodiny,NA,280,6e3,4800,NA,NA,-1200
,Konzolové hodiny - Špindlovky, Konzolové hodiny - Špindlovky,NA,275,4e3,4e3,NA,NA,0
,Konzolové hodiny Boullé (Francúzsko), Konzolové hodiny Boullé (Francúzsko),NA,265,7500,7500,NA,NA,0
,KORBEĽ S VEKOM - BAKCHANÁLIE, KORBEĽ S VEKOM - BAKCHANÁLIE,NA,340,900,NA,NA,NA,NA
,Kozliatko, Kozliatko,NA,285,400,NA,NA,NA,NA
,Kozubové hodiny Boullé - Špindlovky Čierne, Kozubové hodiny Boullé - Špindlovky Čierne,NA,274,5100,NA,NA,NA,NA
,Kozubové hodiny v štýle Boullé, Kozubové hodiny v štýle Boullé,NA,270,1800,NA,NA,NA,NA
,KOZUBOVÉ HODINY V ŠTÝLE BOULLÉ, KOZUBOVÉ HODINY V ŠTÝLE BOULLÉ,NA,243,5100,NA,NA,NA,NA
,KRBOVÉ HODINY V ŠTÝLE BOULLE, KRBOVÉ HODINY V ŠTÝLE BOULLE,NA,315,5500,NA,NA,NA,NA
,KRÍŽ S DIAMANTOM, KRÍŽ S DIAMANTOM,NA,294,1300,NA,NA,NA,NA
,LISTOVÁ SÚPRAVA, LISTOVÁ SÚPRAVA,NA,310,2e3,2e3,NA,NA,0
,Madona z Mariazellu, Madona z Mariazellu,NA,272,200,300,NA,NA,100
,Mahagónový stolík so zásuvkou, Mahagónový stolík so zásuvkou,NA,309,250,400,NA,NA,150
,Malá loď  (Holandsko), Malá loď  (Holandsko),NA,275,1300,1050,NA,NA,-250
,Malá secesná žardiniérka, Malá secesná žardiniérka,NA,296,300,300,NA,NA,0
,MALACHITOVÁ DÓZA, MALACHITOVÁ DÓZA,NA,309,850,NA,NA,NA,NA
,Malé cartelové hodiny, Malé cartelové hodiny,NA,278,1950,1600,NA,NA,-350
,Misa, Misa,NA,303,400,NA,NA,NA,NA
,Misa s prelamovaným okrajom, Misa s prelamovaným okrajom,NA,270,500,400,NA,NA,-100
,MLIEČNIK, MLIEČNIK,NA,331,200,NA,NA,NA,NA
,Mosadzná šperkovnica, Mosadzná šperkovnica,NA,318,500,NA,NA,NA,NA
,Mosadzné hodiny v rokokovom štýle, Mosadzné hodiny v rokokovom štýle,NA,326,800,NA,NA,NA,NA
,Muzikanti, Muzikanti,NA,283,250,NA,NA,NA,NA
,Nábytok - miniatúry (Francúzsko), Nábytok - miniatúry (Francúzsko),NA,308,1e3,800,NA,NA,-200
,NÁHRDELNÍK V SECESNOM ŠTÝLE, NÁHRDELNÍK V SECESNOM ŠTÝLE,NA,280,2900,NA,NA,NA,NA
,"Náhrdelník, náušnice a prsteň"," Náhrdelník, náušnice a prsteň",NA,267,1e3,800,NA,NA,-200
,NÁRAMOK, NÁRAMOK,NA,286,1e3,NA,NA,NA,NA
,NÁRAMOK - PEVNÝ KRUH, NÁRAMOK - PEVNÝ KRUH,NA,283,2400,NA,NA,NA,NA
,NÁRAMOK S BRILIANTAMI, NÁRAMOK S BRILIANTAMI,NA,281,8500,NA,NA,NA,NA
,NÁRAMOK S PERLIČKAMI, NÁRAMOK S PERLIČKAMI,NA,285,1200,NA,NA,NA,NA
