value,value1,name,piece
Poradové číslo:,1,CPIN ŠTEFAN (1919 - 1971),Dievča
Vyvolávacia cena:,400 €,CPIN ŠTEFAN (1919 - 1971),Dievča
Konečná cena:,320 €,CPIN ŠTEFAN (1919 - 1971),Dievča
Poradové číslo:,2,HÁLA JAN (1890 - 1959),Dievča na lúke (Leto)
Vyvolávacia cena:,20 000 €,HÁLA JAN (1890 - 1959),Dievča na lúke (Leto)
Konečná cena:,26 000 €,HÁLA JAN (1890 - 1959),Dievča na lúke (Leto)
Poradové číslo:,3,HÁLA JAN (1890 - 1959),Bocian
Nevydražené,,HÁLA JAN (1890 - 1959),Bocian
Cena v predaji:,600 €,HÁLA JAN (1890 - 1959),Bocian
Poradové číslo:,4,HÁLA JAN (1890 - 1959),Korponay - ilustrácia.
Vyvolávacia cena:,400 €,HÁLA JAN (1890 - 1959),Korponay - ilustrácia.
Konečná cena:,400 €,HÁLA JAN (1890 - 1959),Korponay - ilustrácia.
Poradové číslo:,5,HÁLA JAN (1890 - 1959),Važecký chlapček
Vyvolávacia cena:,200 €,HÁLA JAN (1890 - 1959),Važecký chlapček
Konečná cena:,200 €,HÁLA JAN (1890 - 1959),Važecký chlapček
Poradové číslo:,6,SATIN JOZEF (1913 - 1956),Usadlosť pri Ríme
Vyvolávacia cena:,1 200 €,SATIN JOZEF (1913 - 1956),Usadlosť pri Ríme
Konečná cena:,900 €,SATIN JOZEF (1913 - 1956),Usadlosť pri Ríme
Poradové číslo:,7,GROTKOVSKÝ JÁN (1902 - 1961),Studenovodská dolina I.
Vyvolávacia cena:,750 €,GROTKOVSKÝ JÁN (1902 - 1961),Studenovodská dolina I.
Konečná cena:,600 €,GROTKOVSKÝ JÁN (1902 - 1961),Studenovodská dolina I.
Poradové číslo:,8,GROTKOVSKÝ JÁN (1902 - 1961),Studenovodská dolina II.
Vyvolávacia cena:,280 €,GROTKOVSKÝ JÁN (1902 - 1961),Studenovodská dolina II.
Konečná cena:,400 €,GROTKOVSKÝ JÁN (1902 - 1961),Studenovodská dolina II.
Poradové číslo:,9,GROTKOVSKÝ JÁN (1902 - 1961),Zima pod Tatrami
Vyvolávacia cena:,280 €,GROTKOVSKÝ JÁN (1902 - 1961),Zima pod Tatrami
Konečná cena:,280 €,GROTKOVSKÝ JÁN (1902 - 1961),Zima pod Tatrami
Poradové číslo:,10,KOLLÁR JOZEF (1899 - 1982),Zima v banskoštiavnických vrchoch
Vyvolávacia cena:,400 €,KOLLÁR JOZEF (1899 - 1982),Zima v banskoštiavnických vrchoch
Konečná cena:,400 €,KOLLÁR JOZEF (1899 - 1982),Zima v banskoštiavnických vrchoch
Poradové číslo:,11,POLÓNYI KAROL (1894 - 1946),Pohľad na Štrbské pleso
Vyvolávacia cena:,450 €,POLÓNYI KAROL (1894 - 1946),Pohľad na Štrbské pleso
Konečná cena:,450 €,POLÓNYI KAROL (1894 - 1946),Pohľad na Štrbské pleso
Poradové číslo:,12,POLÓNYI KAROL (1894 - 1946),Pohľad na Tatry
Vyvolávacia cena:,450 €,POLÓNYI KAROL (1894 - 1946),Pohľad na Tatry
Konečná cena:,450 €,POLÓNYI KAROL (1894 - 1946),Pohľad na Tatry
Poradové číslo:,13,STRUHÁR ALOJZ (1892 - 1968),Bača s ovcami
Vyvolávacia cena:,300 €,STRUHÁR ALOJZ (1892 - 1968),Bača s ovcami
Konečná cena:,350 €,STRUHÁR ALOJZ (1892 - 1968),Bača s ovcami
Poradové číslo:,14,KERN PETER JÚLIUS (1881 - 1963),Kriváň
Vyvolávacia cena:,500 €,KERN PETER JÚLIUS (1881 - 1963),Kriváň
Konečná cena:,500 €,KERN PETER JÚLIUS (1881 - 1963),Kriváň
Poradové číslo:,15,GWERK EDMUND (1895 - 1956),Hmlisté ráno
Vyvolávacia cena:,100 €,GWERK EDMUND (1895 - 1956),Hmlisté ráno
Konečná cena:,130 €,GWERK EDMUND (1895 - 1956),Hmlisté ráno
Poradové číslo:,16,VOTRUBA JAROSLAV (1889 - 1971),Popradské pleso
Vyvolávacia cena:,250 €,VOTRUBA JAROSLAV (1889 - 1971),Popradské pleso
Konečná cena:,280 €,VOTRUBA JAROSLAV (1889 - 1971),Popradské pleso
Poradové číslo:,17,VOTRUBA JAROSLAV (1889 - 1971),Na okraji dediny – Jeseň
Vyvolávacia cena:,120 €,VOTRUBA JAROSLAV (1889 - 1971),Na okraji dediny – Jeseň
Konečná cena:,150 €,VOTRUBA JAROSLAV (1889 - 1971),Na okraji dediny – Jeseň
Poradové číslo:,18,ŠTEFUNKO FRAŇO (1903 - 1974),Jánošík
Vyvolávacia cena:,4 800 €,ŠTEFUNKO FRAŇO (1903 - 1974),Jánošík
Konečná cena:,4 800 €,ŠTEFUNKO FRAŇO (1903 - 1974),Jánošík
Poradové číslo:,19,ŠTEFUNKO FRAŇO (1903 - 1974),Anton Bernolák – štúdia
Nevydražené,,ŠTEFUNKO FRAŇO (1903 - 1974),Anton Bernolák – štúdia
Cena v predaji:,900 €,ŠTEFUNKO FRAŇO (1903 - 1974),Anton Bernolák – štúdia
Poradové číslo:,20,MEDVECKÁ MÁRIA (1914 - 1987),Letná krajina
Vyvolávacia cena:,1 100 €,MEDVECKÁ MÁRIA (1914 - 1987),Letná krajina
Konečná cena:,2 500 €,MEDVECKÁ MÁRIA (1914 - 1987),Letná krajina
Poradové číslo:,21,MEDVECKÁ MÁRIA (1914 - 1987),Orava
Vyvolávacia cena:,500 €,MEDVECKÁ MÁRIA (1914 - 1987),Orava
Konečná cena:,800 €,MEDVECKÁ MÁRIA (1914 - 1987),Orava
Poradové číslo:,22,MEDVECKÁ MÁRIA (1914 - 1987),Žena pri kopaní zemiakov
Vyvolávacia cena:,280 €,MEDVECKÁ MÁRIA (1914 - 1987),Žena pri kopaní zemiakov
Konečná cena:,350 €,MEDVECKÁ MÁRIA (1914 - 1987),Žena pri kopaní zemiakov
Poradové číslo:,23,SATIN JOZEF (1913 - 1956),Lovecké zátišie
Vyvolávacia cena:,700 €,SATIN JOZEF (1913 - 1956),Lovecké zátišie
Konečná cena:,700 €,SATIN JOZEF (1913 - 1956),Lovecké zátišie
Poradové číslo:,24,MEDVECKÁ MÁRIA (1914 - 1987),Jesenné kvety
Vyvolávacia cena:,1 200 €,MEDVECKÁ MÁRIA (1914 - 1987),Jesenné kvety
Konečná cena:,2 500 €,MEDVECKÁ MÁRIA (1914 - 1987),Jesenné kvety
Poradové číslo:,25,KOLLÁR JOZEF (1899 - 1982),Kytica v keramickej váze
Vyvolávacia cena:,600 €,KOLLÁR JOZEF (1899 - 1982),Kytica v keramickej váze
Konečná cena:,500 €,KOLLÁR JOZEF (1899 - 1982),Kytica v keramickej váze
Poradové číslo:,26,VESTENICKÝ VLADIMÍR (1919 - 1979),Kytica kvetov vo váze
Vyvolávacia cena:,270 €,VESTENICKÝ VLADIMÍR (1919 - 1979),Kytica kvetov vo váze
Konečná cena:,270 €,VESTENICKÝ VLADIMÍR (1919 - 1979),Kytica kvetov vo váze
Poradové číslo:,27,DÚBRAVEC RÓBERT (1924 - 1976),Zátišie s jablkami
Nevydražené,,DÚBRAVEC RÓBERT (1924 - 1976),Zátišie s jablkami
Cena v predaji:,800 €,DÚBRAVEC RÓBERT (1924 - 1976),Zátišie s jablkami
Poradové číslo:,28,KOCKA  ANDREJ ANDREJOVIČ (1911 - 1987),Kytica
Vyvolávacia cena:,900 €,KOCKA  ANDREJ ANDREJOVIČ (1911 - 1987),Kytica
Konečná cena:,1 150 €,KOCKA  ANDREJ ANDREJOVIČ (1911 - 1987),Kytica
Poradové číslo:,29,ČEMICKÝ LADISLAV (1909 - 2000),Portrét dámy
Nevydražené,,ČEMICKÝ LADISLAV (1909 - 2000),Portrét dámy
Cena v predaji:,1 100 €,ČEMICKÝ LADISLAV (1909 - 2000),Portrét dámy
Poradové číslo:,30,ČEMICKÝ LADISLAV (1909 - 2000),Portrét dievčaťa
Nevydražené,,ČEMICKÝ LADISLAV (1909 - 2000),Portrét dievčaťa
Cena v predaji:,300 €,ČEMICKÝ LADISLAV (1909 - 2000),Portrét dievčaťa
Poradové číslo:,31,NEMČÍK JÚLIUS (1909 - 1986),Zber zemiakov
Nevydražené,,NEMČÍK JÚLIUS (1909 - 1986),Zber zemiakov
Cena v predaji:,2 500 €,NEMČÍK JÚLIUS (1909 - 1986),Zber zemiakov
Poradové číslo:,32,NEMČÍK JÚLIUS (1909 - 1986),Východoslovenská krajina
Vyvolávacia cena:,250 €,NEMČÍK JÚLIUS (1909 - 1986),Východoslovenská krajina
